"script","nameshow","url","type","ipfilter"
"update","dbox2.espend.de","http://dbox2.espend.de/",,
"update","CSV dbox2.espend.de","http://dbox2.espend.de/CSV/",,
"ZDFmediathek","0-Neues","ZDFmediathek/content/neues_%25283sat%2529/342",,
"zdfmediathek","0-Aktuelles Sportstudio","ZDFmediathek/content/das_aktuelle_sportstudio/492",,
"zdfmediathek","0-heute","ZDFmediathek/content/heute/166",,
"zdfmediathek","0-Faszination Erde","ZDFmediathek/content/Faszination_Erde/206",,
"zdfmediathek","0-Frontal 21","ZDFmediathek/content/Frontal21/460",,
"zdfmediathek","0-logo TV","ZDFmediathek/content/logo%2521_%2528tivi%2529/158",,
"myvideo","Top 10 Woche","http://www.myvideo.de/feeds/myVideo-Top10-weekly.rss",,
"myvideo","Top 10 Tag","http://www.myvideo.de/feeds/myVideo-Top10-daily.rss",,
"myvideo","Musikcharts","http://www.myvideo.de/feeds/myVideo-Top10-music_charts.rss",,
"myvideo","Top 10 Aufsteiger","http://www.myvideo.de/feeds/myVideo-Top10-daily_aufsteiger.rss",,
"myvideo","Top 10 Gesamt","http://www.myvideo.de/feeds/myVideo-Top10-alltime.rss",,
"onlinestreams","GIGA","mms://stream.giga.de/GIGA","file",
"onlinestreams","Wetter.com","http://www.tv1.de/tv1/cms/_vm300/59334/asx.asx","file",
"onlinestreams","Show Playing File","http://127.0.0.1:8080/dboxstream","file",
"podcasts","ZDF heute","http://content.zdf.de/podcast/zdf_heute/heute.xml",,
"podcasts","ZDF heute journal","http://content.zdf.de/podcast/zdf_hjo/hjo.xml",,
"podcasts","ARD tagesschau","http://streaming.tagesschau.de/bb/redirect.lsc?rewrite=http://www.tagesschau.de/export/video-podcast-rss/tagesschau&content=content&media=mp3",,
"podcasts","ARD tagesthemen","http://streaming.tagesschau.de/bb/redirect.lsc?rewrite=http://www.tagesschau.de/export/video-podcast-rss/tagesthemen&content=content&media=mp3",,
"podcasts","Computerclub Zwei","http://www.cczwei.de/rss_tvissues.php",,
"podcasts","bundeskanzlerin","http://www.bundeskanzlerin.de/Webs/BK/DE/Service/RSS/Functions/bundeskanzlerinPodCastRSS20,templateId=renderNewsfeed.xml",,
"podcasts","Sendung mit der Maus","http://www.podcast.de/rss/episoden/podcast/4131",,
"podcasts","ProSieben Galileo","http://www.podcast.de/rss/episoden/podcast/4417",,
"podcasts","WDR - Quarks Co","http://www.podcast.de/rss/episoden/podcast/4187",,
"youtube","Top 10","http://gdata.youtube.com/feeds/api/standardfeeds/top_rated",,
"myspace,myvideo,youtube","dortmund","dortmund","search",